name,shot_made_flag,shot_type,shot_distance,x,y,,
Stephen Curry,1,3PT Field Goal,24,-136,203,,
Stephen Curry,0,3PT Field Goal,24,236,44,,
Stephen Curry,0,3PT Field Goal,24,-168,179,,
Stephen Curry,0,3PT Field Goal,25,141,209,,
Stephen Curry,0,2PT Field Goal,21,-127,170,,
Stephen Curry,0,2PT Field Goal,21,-97,192,,
Stephen Curry,0,3PT Field Goal,29,-48,295,,
Stephen Curry,1,3PT Field Goal,26,-15,260,,
Stephen Curry,0,3PT Field Goal,25,125,227,,
Stephen Curry,0,2PT Field Goal,4,-24,33,,
Stephen Curry,0,3PT Field Goal,25,89,238,,
Stephen Curry,0,2PT Field Goal,22,21,228,,
Stephen Curry,0,3PT Field Goal,23,-232,14,,
Stephen Curry,0,2PT Field Goal,19,17,190,,
Stephen Curry,1,3PT Field Goal,24,-242,-8,,
Stephen Curry,1,3PT Field Goal,25,92,233,,
Stephen Curry,1,3PT Field Goal,24,84,231,,
Stephen Curry,0,3PT Field Goal,40,-202,353,,
Stephen Curry,1,2PT Field Goal,4,40,6,,
Stephen Curry,1,3PT Field Goal,24,21,246,,
Stephen Curry,1,3PT Field Goal,25,26,252,,
Stephen Curry,0,3PT Field Goal,26,61,260,,
Stephen Curry,0,3PT Field Goal,24,-60,242,,
Stephen Curry,0,3PT Field Goal,28,165,235,,
Stephen Curry,0,3PT Field Goal,25,173,183,,
Stephen Curry,0,2PT Field Goal,4,39,30,,
Stephen Curry,0,2PT Field Goal,19,132,146,,
Stephen Curry,0,2PT Field Goal,3,0,33,,
Stephen Curry,0,2PT Field Goal,18,-130,127,,
Stephen Curry,0,3PT Field Goal,25,-5,255,,
Stephen Curry,1,3PT Field Goal,23,230,22,,
Stephen Curry,1,3PT Field Goal,24,-229,89,,
Stephen Curry,0,3PT Field Goal,31,212,239,,
Stephen Curry,1,3PT Field Goal,24,116,217,,
Stephen Curry,1,3PT Field Goal,26,143,219,,
Stephen Curry,1,3PT Field Goal,25,-217,134,,
Stephen Curry,1,3PT Field Goal,25,214,137,,
Stephen Curry,0,3PT Field Goal,23,237,-6,,
Stephen Curry,0,2PT Field Goal,8,-18,88,,
Stephen Curry,0,3PT Field Goal,26,203,167,,
Stephen Curry,0,2PT Field Goal,16,32,159,,
