name,shot_made_flag,shot_type,shot_distance,x,y
DeMar DeRozan,1,2PT Field Goal,16,-157,53
DeMar DeRozan,0,2PT Field Goal,13,7,132
DeMar DeRozan,1,2PT Field Goal,13,-119,53
DeMar DeRozan,1,2PT Field Goal,14,138,42
DeMar DeRozan,1,2PT Field Goal,12,67,110
DeMar DeRozan,1,2PT Field Goal,11,114,15
DeMar DeRozan,0,2PT Field Goal,18,9,189
DeMar DeRozan,0,2PT Field Goal,18,162,91
DeMar DeRozan,1,2PT Field Goal,13,138,17
DeMar DeRozan,0,3PT Field Goal,24,-224,99
DeMar DeRozan,1,2PT Field Goal,13,133,9
DeMar DeRozan,1,2PT Field Goal,12,31,116
DeMar DeRozan,0,2PT Field Goal,15,-67,137
DeMar DeRozan,0,2PT Field Goal,14,119,83
DeMar DeRozan,0,2PT Field Goal,10,89,63
DeMar DeRozan,1,2PT Field Goal,16,31,164
DeMar DeRozan,1,2PT Field Goal,18,81,162
DeMar DeRozan,1,2PT Field Goal,12,72,99
DeMar DeRozan,0,2PT Field Goal,14,-147,22
DeMar DeRozan,0,2PT Field Goal,15,80,134
DeMar DeRozan,1,2PT Field Goal,17,171,22
DeMar DeRozan,1,2PT Field Goal,18,146,108
DeMar DeRozan,0,2PT Field Goal,8,80,26
DeMar DeRozan,1,2PT Field Goal,13,-130,11
DeMar DeRozan,0,2PT Field Goal,14,-134,45
DeMar DeRozan,1,2PT Field Goal,0,1,0
DeMar DeRozan,1,2PT Field Goal,10,12,108
DeMar DeRozan,0,2PT Field Goal,9,-26,91
DeMar DeRozan,1,2PT Field Goal,4,-40,11
DeMar DeRozan,0,2PT Field Goal,6,0,60
DeMar DeRozan,0,2PT Field Goal,10,0,101
DeMar DeRozan,1,2PT Field Goal,6,-13,67
DeMar DeRozan,1,2PT Field Goal,11,114,7
DeMar DeRozan,0,2PT Field Goal,6,39,53
DeMar DeRozan,1,2PT Field Goal,7,-13,72
DeMar DeRozan,1,2PT Field Goal,9,32,89
DeMar DeRozan,0,2PT Field Goal,12,-92,85
DeMar DeRozan,0,2PT Field Goal,9,-16,91
DeMar DeRozan,0,2PT Field Goal,9,84,53
DeMar DeRozan,0,2PT Field Goal,5,-40,42
DeMar DeRozan,1,2PT Field Goal,6,28,63
